Customer Type,Age,Type of Travel,Class,Flight Distance,Inflight wifi service,Departure/Arrival time convenient,Ease of Online booking,Food and drink,Online boarding,Seat comfort,Inflight entertainment,On-board service,Leg room service,Baggage handling,Checkin service,Inflight service,Cleanliness,Departure Delay in Minutes,Arrival Delay in Minutes,satisfaction
Loyal Customer,13,Personal Travel,Eco Plus,460,3,4,3,5,3,5,5,4,3,4,4,5,5,25,18,neutral or dissatisfied
disloyal Customer,25,Business travel,Business,235,3,2,3,1,3,1,1,1,5,3,1,4,1,1,6,neutral or dissatisfied
Loyal Customer,26,Business travel,Business,1142,2,2,2,5,5,5,5,4,3,4,4,4,5,0,0,satisfied
Loyal Customer,25,Business travel,Business,562,2,5,5,2,2,2,2,2,5,3,1,4,2,11,9,neutral or dissatisfied
Loyal Customer,61,Business travel,Business,214,3,3,3,4,5,5,3,3,4,4,3,3,3,0,0,satisfied
Loyal Customer,26,Personal Travel,Eco,1180,3,4,2,1,2,1,1,3,4,4,4,4,1,0,0,neutral or dissatisfied
Loyal Customer,47,Personal Travel,Eco,1276,2,4,2,2,2,2,2,3,3,4,3,5,2,9,23,neutral or dissatisfied
Loyal Customer,52,Business travel,Business,2035,4,3,4,5,5,5,5,5,5,5,4,5,4,4,0,satisfied
Loyal Customer,41,Business travel,Business,853,1,2,2,4,3,3,1,1,2,1,4,1,2,0,0,neutral or dissatisfied
disloyal Customer,20,Business travel,Eco,1061,3,3,3,2,3,3,2,2,3,4,4,3,2,0,0,neutral or dissatisfied
disloyal Customer,24,Business travel,Eco,1182,4,5,5,2,5,2,2,3,3,5,3,5,2,0,0,neutral or dissatisfied
Loyal Customer,12,Personal Travel,Eco Plus,308,2,4,2,1,2,1,1,1,2,5,5,5,1,0,0,neutral or dissatisfied
Loyal Customer,53,Business travel,Eco,834,1,4,4,1,1,1,1,1,1,3,4,4,1,28,8,neutral or dissatisfied
Loyal Customer,33,Personal Travel,Eco,946,4,2,4,4,4,4,4,4,5,2,2,2,4,0,0,satisfied
Loyal Customer,26,Personal Travel,Eco,453,3,2,3,2,3,2,2,4,3,2,2,1,2,43,35,neutral or dissatisfied
disloyal Customer,13,Business travel,Eco,486,2,1,2,4,2,1,4,2,1,4,1,3,4,1,0,neutral or dissatisfied
Loyal Customer,26,Business travel,Business,2123,3,3,3,4,4,4,4,5,3,4,5,4,4,49,51,satisfied
Loyal Customer,41,Business travel,Business,2075,4,4,2,4,4,4,5,5,5,5,3,5,5,0,10,satisfied
Loyal Customer,45,Business travel,Business,2486,4,4,4,3,4,5,5,5,5,5,3,5,4,7,5,satisfied
Loyal Customer,38,Personal Travel,Eco,460,2,3,3,5,3,5,5,1,2,4,3,2,5,17,18,neutral or dissatisfied
Loyal Customer,9,Business travel,Eco,1174,2,4,2,2,2,1,2,1,5,3,4,3,2,0,4,neutral or dissatisfied
Loyal Customer,17,Personal Travel,Eco,208,3,1,3,5,3,5,5,2,5,3,3,4,5,0,0,neutral or dissatisfied
Loyal Customer,43,Personal Travel,Eco,752,3,5,3,5,4,5,3,3,3,5,3,3,4,52,29,neutral or dissatisfied
Loyal Customer,58,Personal Travel,Eco,2139,4,5,4,4,3,4,4,4,4,4,2,4,2,0,0,neutral or dissatisfied
disloyal Customer,23,Business travel,Eco,452,5,0,5,1,5,1,1,4,5,5,3,5,1,54,44,satisfied
Loyal Customer,57,Personal Travel,Eco,719,4,4,4,5,4,5,5,3,2,4,4,5,5,27,28,neutral or dissatisfied
Loyal Customer,33,Business travel,Business,1561,1,1,1,1,5,3,4,4,4,3,5,4,2,0,0,satisfied
Loyal Customer,49,Business travel,Eco Plus,315,4,4,4,2,2,1,4,4,4,4,2,4,2,0,8,satisfied
Loyal Customer,36,Business travel,Business,3347,3,1,1,1,2,1,3,3,3,3,2,3,2,18,12,neutral or dissatisfied
Loyal Customer,22,Personal Travel,Eco,2342,3,2,3,3,3,1,3,2,4,3,4,2,3,19,0,neutral or dissatisfied
Loyal Customer,31,Business travel,Business,819,4,4,4,5,5,5,5,5,4,3,1,5,5,0,0,satisfied
disloyal Customer,15,Business travel,Eco,1043,2,2,2,5,2,5,5,3,1,4,2,4,5,3,0,neutral or dissatisfied
Loyal Customer,35,Business travel,Business,2611,4,5,4,4,4,4,3,3,4,5,4,3,4,109,120,satisfied
Loyal Customer,67,Personal Travel,Eco,1192,4,5,4,2,4,5,5,5,4,3,5,5,5,18,24,neutral or dissatisfied
disloyal Customer,37,Business travel,Business,1182,3,3,3,1,3,1,1,4,1,3,1,4,1,9,0,neutral or dissatisfied
Loyal Customer,40,Business travel,Eco,349,1,4,4,1,1,1,1,3,5,3,3,3,1,0,1,neutral or dissatisfied
disloyal Customer,34,Business travel,Business,883,3,4,4,5,4,2,5,5,4,5,4,5,5,0,0,neutral or dissatisfied
Loyal Customer,40,Personal Travel,Eco Plus,550,4,3,4,2,4,2,2,5,1,4,3,4,2,23,20,neutral or dissatisfied
Loyal Customer,47,Personal Travel,Eco,302,4,4,4,2,4,5,4,4,4,4,4,4,4,23,31,satisfied
